cod,sigla,nome,descricao
900,,Aguardando Autógrafos na Mesa,
901,,Aguardando Constituição de Comissão Temporária ,
902,,Aguardando Criação de Comissão Temporária,
903,,Aguardando Deliberação,
904,,Aguardando Deliberação de Recurso,
905,,Aguardando Despacho do Presidente da Câmara dos Deputados,
906,,Aguardando Distribuição,
907,,Aguardando Designação de Relator(a),
910,,Aguardando Encaminhamento,
911,,Aguardando Instalação de Comissão Temporária,
912,,Aguardando Leitura e Publicação,
914,,Aguardando Originais para Envio ao Arquivo,
915,,Aguardando Parecer,
917,,Aguardando Recebimento,
918,,Aguardando Recurso,
920,,Aguardando Deliberação sobre Prejudicialidade,
921,,Aguardando Resposta ,
922,,Aguardando Vistas,
923,,Arquivada,
924,,Pronta para Pauta,
925,,Tramitando em Conjunto,
926,,Aguardando Apreciação pelo Senado Federal,
927,,Aguardando Apensação,
928,,Aguardando Análise de Parecer,
929,,Aguardando Redação Final,
930,,Enviada ao Arquivo,
931,,Aguardando Remessa ao Arquivo,
932,,Aguardando Definição Encaminhamento,
933,,Aguardando Conhecimento,
934,,Aguardando despacho de Emenda,
935,,Aguardando despacho de Substitutivo,
936,,Aguardando Providências Internas,
937,,Vetado totalmente,
939,,Aguardando Apreciação do Veto,
940,,Aguardando Despacho de Arquivamento ,
941,,Recusado,
950,,Retirado pelo(a) Autor(a),
1000,,Aguardando Recebimento para Publicação - Relatadas,
1010,,Aguardando Informações do DCD - Novas,
1020,,Aguardando Encaminhamento à Publicação,
1030,,Aguardando Informações do DCD - Relatadas,
1040,,Aguardando Encaminhamento à CCP para Publicação,
1050,,Aguardando análise de prazo recursal,
1052,,Aguardando Abertura de Prazo para Recurso,
1060,,Encaminhada à Publicação,
1070,,Aguardando Envio ao Executivo,
1080,,Aguardando Recebimento para Publicação - Novas,
1090,,Aguardando Análise,
1091,,Ag. Análise de Inconstitucionalidade,
1110,,Aguardando Despacho do Presidente,
1120,,Devolvida ao(à) Autor(a),
1140,,Transformado em Norma Jurídica,
1150,,Aguardando Sanção,
1160,,Aguardando Remessa à Sanção,
1161,,Outros,
1170,,Aguardando Designação - Aguardando Devolução de Relator(a) que deixou de ser Membro,
1180,,Aguardando Apoiamento - Conferência de Assinaturas,
1185,,Aguardando Apoiamento - Coleta de Assinaturas,
1200,,Aguardando Autorização do Despacho,
1201,,Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela),
1210,,Aguardando Chancela e Publicação do Despacho,
1220,,Aguardando Despacho do Presidente da Câmara dos Deputados (Análise),
1221,,Aguardando Despacho do Presidente da Câmara dos Deputados (Autorização),
1222,,Prejudicialidade,
1223,,Aguardando Despacho - Requerimentos,
1230,,Transformado em nova proposição,
1250,,Inativa Sinopse (Carga Jan/2001),
1260,,Desmembrada ,
1270,,Aguardando Envio à Redação Final,
1280,,Comissão em funcionamento,
1285,,Tramitação Finalizada,
1290,,Aguardando Indexação,
1291,,Aguardando Indexação (Substituição de Versão),
1292,,Perdeu a Eficácia,
1293,,Aguardando Envio ao Senado Federal,
1294,,Aguardando Promulgação,
1295,,Aguardando Reformulação de Parecer,
1296,,Aguardando Eleição do(a) Presidente da Comissão Especial e do(a) Relator(a),
1297,,Aguardando Parecer da Comissão Especial,
1298,,Aguardando Manifestação do(a)(s) Acusado(a)(s),
1299,,Enviada ao Congresso Nacional,
1300,,Aguardando Leitura do Parecer da Comissão Especial,
1301,,Aguardando Interstício Regimental,
1302,,Aguardando Publicação,
1303,,Enviada ao Senado Federal,
1304,,Aguardando Solicitação de Relatoria na CMO,
1305,,Enviada ao TCU,
1310,,Em tramitação no Conselho de Ética,
1311,,<Não Definido>,
1312,,Aguardando Instauração do Processo,
1313,,Aguardando Parecer Preliminar no Conselho de Ética,
1314,,Aguardando Defesa Escrita no Conselho de Ética,
1350,,Aguardando Notificação do(a) Representado(a),
1355,,Em Instrução Probatória,
1360,,Tramitação Suspensa,
1380,,Aguardando Elaboração do Parecer pelo(a) Relator(a),
1381,,Aguardando análise do Presidente da Câmara - (Decisão),
1382,,Aguardando Despacho do Presidente da Câmara dos Deputados,
1383,,Recebido pelo Protocolo Digital,
